ensembl_gene_id_version	gene_biotype	mirbase_id	external_gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Dif_D6_1_S4	Dif_D6_2_S3	Dif_D6_3_S2	Dif_D6_4_S1	Undif_D2_1_S8	Undif_D2_2_S7	Undif_D2_3_S6	Undif_D2_4_S5
ENSMUSG00000064795.3	snRNA		Gm22423	80.58491604829476	0.6911615686015085	0.25380591847671574	2.7231893280885644	0.006465499362180385	0.022668196558969785	58.52171470138981	58.89284552779057	73.07936768833	54.57207031421678	113.38433006683151	94.72988540546204	100.52317105441595	90.97594362792145
ENSMUSG00000065398.3	miRNA	mmu-mir-188	Mir188	72.89987517573624	2.7317546782251134	0.5620015537875611	4.860760010029666	1.1693594553866428e-6	1.2152985768482608e-5	39.32659227933395	10.906082505146403	16.52548515565251	9.92219460258487	144.0287435984076	205.7925096739348	89.75283129858568	66.94456229224409
ENSMUSG00000065411.4	miRNA	mmu-mir-195a	Mir195a	600.5182139171748	2.1480878963017283	0.35264537123761225	6.091354293870337	1.1195945992570202e-9	2.079587415215699e-8	208.33730433694774	229.4639759082803	216.30023903731845	230.69102451009823	1452.5452013967065	1219.511168438132	574.4181203109483	672.8786773989661
ENSMUSG00000065422.3	miRNA	mmu-mir-221	Mir221	464.9612627669398	2.093674572113374	0.4329725426065047	4.83558278201524	1.3275611091594155e-6	1.3476288933676392e-5	273.4134510848932	132.1817199623744	134.7745122694327	165.7006498631673	1198.1965690846248	886.3232956327139	520.5664215317969	408.53348270651514
ENSMUSG00000065428.6	miRNA	mmu-mir-382	Mir382	1122.3821413999317	2.3825618270168705	0.486586682987151	4.896479723592816	9.75687104205387e-7	1.0589175290163525e-5	385.77514331156164	332.8536380570682	340.42499420644174	385.97337004055146	2960.2503471502496	2779.8321544844207	1181.1472598893874	612.8002240597727
ENSMUSG00000065431.3	miRNA	mmu-mir-186	Mir186	1727.9848960426998	1.4408796814758162	0.35898330147182345	4.013779124455767	5.975426542304758e-5	4.3175948646125386e-4	1457.892956641023	677.0496019194886	774.4944042949144	812.6277379517009	3177.82568322444	3138.063560213122	1827.3676452392042	1958.557578857705
ENSMUSG00000065433.3	miRNA	mmu-mir-370	Mir370	41.7534697764792	1.7922047256122333	0.5835405716488017	3.071259844963881	0.0021315756005857193	0.009077392679567479	24.345033315778164	20.939678409881093	16.52548515565251	13.394962713489575	94.99768194788587	108.88492575340466	39.49124577137769	15.448745144364018
ENSMUSG00000065436.3	miRNA	mmu-mir-342	Mir342	693.3222613210005	1.2726478363881064	0.28306395348720337	4.49597280299994	6.925258856117947e-6	5.985892060783136e-5	393.7340965109507	425.3372177007097	459.4084873271398	343.80404297956574	1391.2563743335543	979.9643317806418	854.4469539625355	698.6265859729062
ENSMUSG00000065441.4	miRNA	mmu-mir-128-2	Mir128-2	334.9894820105784	3.462535113985266	0.3691782865729253	9.379032407696322	6.658091249370354e-21	6.458348511889243e-19	49.15824034916744	57.584115627173006	49.20922246349859	66.97481356744787	959.1701435383314	697.9523740793238	430.8135902332112	369.0533562264738
ENSMUSG00000065445.5	miRNA	mmu-mir-143	Mir143	6194.643053358989	0.8942916314138118	0.3694026112065722	2.4209131291541373	0.015481576478382476	0.046501039441505305	6573.158995260103	3607.295849402224	3513.685377095183	3642.933748339035	6416.940193512032	12145.024618534755	8350.60342402041	5307.502220708172
