biotype	group
protein_coding	coding_genes
pseudogene	pseudogenes
TR_C_gene	Ig_genes
TR_D_gene	Ig_genes
TR_J_gene	Ig_genes
TR_V_gene	Ig_genes
IG_C_gene	Ig_genes
IG_D_gene	Ig_genes
IG_J_gene	Ig_genes
IG_LV_gene	Ig_genes
IG_V_gene	Ig_genes
TR_J_pseudogene	pseudogenes
TR_V_pseudogene	pseudogenes
IG_C_pseudogene	pseudogenes
IG_D_pseudogene	pseudogenes
IG_pseudogene	pseudogenes
IG_V_pseudogene	pseudogenes
lncRNA	long_non_conding_RNA
miRNA	non_conding_RNA
misc_RNA	non_conding_RNA
ribozyme	non_conding_RNA
rRNA	non_conding_RNA
scaRNA	non_conding_RNA
scRNA	non_conding_RNA
snoRNA	non_conding_RNA
snRNA	non_conding_RNA
sRNA	non_conding_RNA
Mt_rRNA	non_conding_RNA
Mt_tRNA	non_conding_RNA
processed_pseudogene	pseudogenes
unprocessed_pseudogene	pseudogenes
translated_unprocessed_pseudogene	pseudogenes
transcribed_processed_pseudogene	pseudogenes
transcribed_unitary_pseudogene	pseudogenes
transcribed_unprocessed_pseudogene	pseudogenes
unitary_pseudogene	pseudogenes
TEC	unconfirmed_genes
