proteinID,Diff_rep1,Diff_rep2,Diff_rep3,Diff_rep4,Diff_rep5,Undiff_rep1,Undiff_rep2,Undiff_rep3,Undiff_rep4,Undiff_rep5
Fn1,11.264023,11.957903,13.015368,99.832733,17.435396,17.656097,10.261683,9.839877,24.49762,25.002165
Nccrp1,175.335114,130.615189,119.892265,46.170971,126.138725,99.981537,204.48558,4.206197,44.546753,48.956783
Gapdh,54.41286,93.26534,58.10947,82.68983,81.63021,45.42788,19.23299,17.01094,47.88483,48.03581
Gm8797,913.6246,1941.6495,722.03,499.4124,729.1008,664.7723,355.8071,206.4158,276.4531,411.0029
Serpinc1,3.495916,3.692269,1.298497,106.751373,2.342766,2.052989,2.795037,3.437407,1.486412,1.355114
Rhoa,2.354626,3.344382,8.167943,56.115444,18.934011,2.541257,1.866584,1.517763,2.974706,3.849987
Ltf,26.833235,9.431939,51.894245,14.285791,33.541847,44.906094,9.785696,19.947681,1.531739,2.14485
H2aj,8.224572,6.406186,3.698699,27.453968,7.674619,8.960664,3.691046,3.593939,9.013591,10.164393
Capza2,78.440407,103.762932,56.366562,52.484055,53.135937,4.373838,9.253526,4.373838,17.679411,16.578247
Tgm1,21.22043,16.39967,181.20152,59.28648,127.07157,152.09825,20.87718,18.12043,39.64499,25.64075
Aldoa,27.878798,30.13463,5.490961,6.099839,1.601485,3.13502,1.787806,1.871171,3.749123,3.705146
Rps3,37.923454,96.457252,23.137878,38.861965,36.598213,28.44561,34.93055,1.354885,40.061317,2.390762
Ldha,26.346155,25.975275,23.364347,39.173054,26.120354,17.723001,1.680659,1.366584,4.821694,4.307678
Rpsa,24.064459,49.345306,18.001261,19.210522,13.541504,11.651302,1.477901,1.728033,7.461791,8.425612
Actn4,40.625679,47.685986,21.675432,80.291039,28.294346,16.882189,6.858036,8.20042,16.691818,12.419257
Myl6,31.096241,30.440619,16.289526,22.675365,13.0509,3.677567,53.679146,1.375675,2.662644,2.427447
H3c14,5.127146,5.41512,16.297604,134.895126,32.300461,33.872086,1.90578,2.343777,3.160723,4.13571
Calml3,21.589655,85.708214,2.228765,4.788932,9.823277,1.409674,4.63454,3.768454,1.947,8.969073
Eppk1,26.094084,124.378525,11.931684,16.906328,15.930649,12.348031,3.228243,3.069852,7.380836,12.127775
Gm5478,4.481999,202.831222,8.983584,16.194733,9.239552,13.161866,3.385833,4.532519,8.413479,8.819195
Psmb1,13.908808,1.222292,12.708707,6.744436,8.014951,15.714804,4.860084,1.335359,2.584612,2.356308
Cfl1,555.59314,63.157387,220.345718,41.147179,94.988434,18.702805,32.103573,3.411757,8.037843,13.048761
Acta2,4.108047,16.034287,4.946016,13.573197,1.745599,1.747077,2.378555,2.925207,3.659535,5.448624
Anxa1,161.41426,210.11139,91.7325,71.36199,55.85274,202.24747,64.22129,40.29332,89.26522,31.33402
Krt10,1073.20496,212.14676,435.51099,563.15198,98.87762,881.34534,501.74234,797.8111,681.28986,1191.22437
Krtap1-3,2.2904749,1.3206056,3.9494703,0.2641211,2.1890256,2.4980042,1.8348144,1.491931,3.4501703,3.7844605
Eif6,3.095916,53.083309,41.696629,23.28931,24.136915,33.311466,4.542977,3.881529,31.607878,71.3563
Hspg2,2.65134,2.416041,2.705462,37.102394,3.985626,3.562213,2.814136,3.059913,2.987302,2.498892
Flna,25.384579,99.732124,12.840636,34.072655,3.46974,14.226225,3.319137,4.160831,3.707371,3.038646
Rplp0,1.6313958,1.5446389,1.2026957,2.3339787,1.8850307,0.2405391,2.5009105,2.0335495,4.702692,5.15834
Rpl5,9.487778,2.990777,4.476178,21.596493,1.80429,1.581117,2.152608,15.432607,5.12396,4.671349
Hspb1,151.78447,81.180748,79.993607,64.874557,128.627853,41.623245,9.519035,2.71142,6.102606,6.757721
