Geneid	Dif_D6_1_S4	Dif_D6_2_S3	Dif_D6_3_S2	Dif_D6_4_S1	Undif_D2_1_S8	Undif_D2_2_S7	Undif_D2_3_S6	Undif_D2_4_S5
ENSMUSG00000089699.2	0	0	0	0	0	0	0	0
ENSMUSG00000102331.2	0	0	0	0	0	0	0	0
ENSMUSG00000102343.2	111	137	80	139	5	9	27	29
ENSMUSG00000104238.2	1	1	3	1	0	0	0	0
ENSMUSG00000104328.2	6	7	2	13	0	1	0	0
ENSMUSG00000120403.1	2	10	4	8	0	3	3	14
ENSMUSG00000085623.2	0	0	0	0	0	0	0	0
ENSMUSG00000090031.4	53	54	59	73	4	18	12	13
ENSMUSG00000120372.1	0	0	1	1	3	1	3	3
ENSMUSG00000097797.7	31	20	23	57	5	10	6	17
ENSMUSG00000103067.2	8	18	17	30	0	2	9	13
ENSMUSG00000079671.10	27	23	13	44	4	6	7	17
ENSMUSG00000099827.2	0	11	2	3	0	0	0	3
ENSMUSG00000097893.10	150	1268	129	111	3	84	22	32
ENSMUSG00000098234.9	14	30	9	24	5	8	4	11
ENSMUSG00000087199.2	0	0	0	0	0	0	0	0
ENSMUSG00000121270.1	0	0	0	0	0	0	0	0
ENSMUSG00000097171.2	7	0	3	3	0	2	0	2
ENSMUSG00000101314.2	0	0	0	0	0	0	0	0
ENSMUSG00000099498.2	26	18	35	25	0	0	11	6
ENSMUSG00000101476.2	7	7	17	11	0	3	14	4
ENSMUSG00000120948.1	0	8	8	3	0	4	0	0
ENSMUSG00000054493.3	36	26	38	31	5	10	0	12
ENSMUSG00000100868.2	0	0	0	0	0	0	0	0
ENSMUSG00000089982.8	0	0	0	0	0	0	0	0
ENSMUSG00000097744.2	6	11	17	5	0	0	3	0
ENSMUSG00000101640.2	49	90	72	70	6	10	11	9
ENSMUSG00000100110.2	4	1	5	4	0	1	3	0
ENSMUSG00000099899.2	2	4	2	2	0	2	2	3
ENSMUSG00000100053.2	12	20	5	9	0	0	0	2
ENSMUSG00000085125.8	36	27	94	29	1	9	14	20
ENSMUSG00000099895.2	34	43	30	66	1	5	2	12
ENSMUSG00000109887.2	388	198	575	226	16	92	107	132
ENSMUSG00000089787.3	51	45	45	50	2	16	4	11
ENSMUSG00000100538.2	0	2	1	0	0	1	0	0
ENSMUSG00000089914.3	0	0	0	0	0	0	0	0
ENSMUSG00000099906.3	32268	33201	43485	21123	21135	20759	33180	19751
ENSMUSG00000102121.2	10	10	3	8	0	0	0	1
ENSMUSG00000097934.2	1	1	4	3	1	9	3	1
ENSMUSG00000099971.2	3	0	0	3	0	0	0	0
ENSMUSG00000099343.2	7	1	0	2	0	2	0	3
ENSMUSG00000101227.2	406	272	337	2998	244	166	88	1064
ENSMUSG00000097970.2	0	0	0	1	0	4	0	0
ENSMUSG00000100775.2	0	0	0	0	0	0	0	0
ENSMUSG00000099503.2	73	37	61	96	0	16	26	8
ENSMUSG00000100483.2	0	2	5	3	0	0	0	0
ENSMUSG00000099392.2	1	0	0	0	0	0	0	0
ENSMUSG00000101514.3	15	5	9	18	2	1	2	2
ENSMUSG00000053185.3	14	0	7	3	0	1	0	0
ENSMUSG00000100237.2	0	0	0	0	0	0	0	0
ENSMUSG00000100910.2	0	0	0	0	0	0	0	0
ENSMUSG00000102917.2	0	0	0	0	0	0	0	0
