Geneid	Dif_D6_1_S4	Dif_D6_2_S3	Dif_D6_3_S2	Dif_D6_4_S1	Undif_D2_1_S8	Undif_D2_2_S7	Undif_D2_3_S6	Undif_D2_4_S5
ENSMUSG00000119106.1	37	58	69	40	1	9	5	6
ENSMUSG00002075390.1	0	0	0	0	0	0	0	0
ENSMUSG00002076728.1	2	0	0	0	0	0	0	0
ENSMUSG00000119589.1	0	0	5	3	0	0	0	0
ENSMUSG00000084663.3	0	0	0	0	0	0	0	0
ENSMUSG00000119616.1	0	0	0	0	0	0	0	0
ENSMUSG00000087792.3	3	0	0	0	0	0	0	0
ENSMUSG00000064763.3	0	0	0	0	0	0	0	0
ENSMUSG00002076163.1	0	0	0	0	0	0	0	0
ENSMUSG00000088055.4	8	4	1	11	0	0	3	1
ENSMUSG00000087939.3	0	0	0	0	0	0	0	0
ENSMUSG00002076673.1	0	0	0	0	0	0	0	0
ENSMUSG00000099289.3	0	0	0	0	0	0	0	0
ENSMUSG00000076140.3	5221	3001	4235	3532	100	308	301	320
ENSMUSG00000065536.4	687	1329	1480	1076	216	580	105	146
ENSMUSG00002075482.1	0	0	0	0	0	0	0	0
ENSMUSG00002075992.1	4	2	14	5	0	0	0	0
ENSMUSG00000077396.3	0	0	0	0	0	0	0	0
ENSMUSG00000087884.3	0	0	0	0	0	0	0	0
ENSMUSG00000064855.3	0	0	0	0	0	0	0	0
ENSMUSG00000119682.1	0	0	0	0	0	0	0	0
ENSMUSG00002076255.1	0	0	0	0	0	0	0	0
ENSMUSG00000093003.3	0	0	0	0	0	0	0	0
ENSMUSG00000088147.3	0	0	0	0	0	0	0	0
ENSMUSG00000065481.3	223	134	199	196	423	821	156	256
ENSMUSG00002076765.1	0	0	1	0	0	0	0	0
ENSMUSG00000099261.3	8	6	18	12	6	22	1	3
ENSMUSG00002075574.1	0	0	0	0	0	0	0	0
ENSMUSG00002075601.1	0	0	0	0	0	0	0	0
ENSMUSG00000077488.3	0	0	0	0	0	0	2	0
ENSMUSG00000098580.3	0	0	0	0	0	0	0	0
ENSMUSG00000119774.1	0	0	0	0	0	0	0	0
ENSMUSG00002074893.1	0	0	0	0	0	0	0	0
ENSMUSG00000077515.3	0	0	0	0	0	0	0	0
ENSMUSG00000065573.3	159	71	131	77	15	33	1	5
ENSMUSG00000119801.1	0	0	0	0	0	0	0	0
ENSMUSG00002075156.1	0	0	0	0	0	0	0	0
ENSMUSG00000089431.4	0	0	0	0	0	0	0	0
ENSMUSG00002076857.1	0	0	0	0	0	0	0	0
ENSMUSG00002074920.1	0	0	0	0	0	0	0	0
ENSMUSG00000064382.3	0	0	0	0	0	0	0	0
ENSMUSG00000065600.3	0	0	0	0	0	0	0	0
ENSMUSG00002075666.1	0	0	0	0	0	0	0	0
ENSMUSG00000088750.3	0	0	0	1	0	0	0	0
ENSMUSG00000065155.3	1	0	0	0	0	0	0	0
ENSMUSG00000119866.1	0	0	0	2	0	0	0	0
ENSMUSG00002074985.1	1	0	3	5	0	0	0	0
ENSMUSG00000077607.3	0	0	0	0	0	0	0	0
ENSMUSG00002075248.1	0	0	0	0	0	0	0	0
ENSMUSG00000077581.3	1	2	2	2	0	0	0	0
ENSMUSG00002075758.1	0	0	0	0	0	0	0	0
ENSMUSG00002076950.1	1	0	1	1	0	0	0	0
ENSMUSG00002075193.1	2	0	0	0	0	0	0	0
ENSMUSG00000105030.3	0	0	0	0	0	0	0	0
ENSMUSG00000092990.3	0	0	0	0	0	0	0	0
ENSMUSG00000104914.3	6	3	17	15	0	16	0	2
ENSMUSG00000089615.3	0	0	0	0	0	0	0	0
ENSMUSG00000077673.3	0	0	0	0	0	0	0	0
ENSMUSG00000064566.3	1	5	0	0	0	1	1	0
ENSMUSG00000093763.3	8	3	2	0	0	1	0	3
ENSMUSG00000077700.4	0	0	0	0	0	0	0	0
ENSMUSG00000098346.3	35	18	44	16	7	22	1	7
ENSMUSG00000104979.3	2	6	13	5	6	16	1	0
ENSMUSG00002075285.1	0	0	0	0	0	0	0	0
ENSMUSG00000089560.3	0	0	0	0	0	0	0	0
ENSMUSG00000118859.1	554	434	521	421	0	7	15	11
