UniProtIds,Comparison (group1/group2),Condition Numerator,Condition Denominator,Ratio,Pvalue,Qvalue,Standard Error,ProteinNames,Genes
A0A087WR50;P11276;Q3UHL6,DO / D6,DO,D6,0.56843232,0.136602991,0.03262161,0.51668047,A0A087WR50_MOUSE;FINC_MOUSE;Q3UHL6_MOUSE,Fn1
A0A0A0MQ97;G3X9C2,DO / D6,DO,D6,0.672365339,0.007541561,0.003956229,0.274871858,A0A0A0MQ97_MOUSE;FBX50_MOUSE,Nccrp1
A0A0A0MQF6;P16858,DO / D6,DO,D6,0.479839986,8.05E-06,3.22E-05,0.153717997,A0A0A0MQF6_MOUSE;G3P_MOUSE,Gapdh
A0A0A6YW67;E9Q4P0;E9Q5F6;E9Q9J0;E9QNP0;P0CG49;P0CG50;P62979;P62983;P62984;Q5SX22,DO / D6,DO,D6,0.398361234,0.002788782,0.002246435,0.341851827,A0A0A6YW67_MOUSE;E9Q4P0_MOUSE;E9Q5F6_MOUSE;E9Q9J0_MOUSE;E9QNP0_MOUSE;UBB_MOUSE;UBC_MOUSE;RS27A_HUMAN;RS27A_MOUSE;RL40_MOUSE;Q5SX22_MOUSE,Gm8797;Kxd1;Ubc;Uba52;Kxd1;Ubb;Ubc;RPS27A;Rps27a;Uba52;Ubb
A0A0A6YWH7;A0A0A6YX49;A0A0A6YXS8;P01008;P32261,DO / D6,DO,D6,0.094632432,0.012896007,0.00529067,1.203708701,A0A0A6YWH7_MOUSE;A0A0A6YX49_MOUSE;A0A0A6YXS8_MOUSE;ANT3_HUMAN;ANT3_MOUSE,Serpinc1;Serpinc1;Serpinc1;SERPINC1;Serpinc1
A0A0A6YXF6;H3BL56;Q62159;Q9QUI0,DO / D6,DO,D6,0.143396445,0.008561771,0.004133456,0.639658439,A0A0A6YXF6_MOUSE;H3BL56_MOUSE;RHOC_MOUSE;RHOA_MOUSE,Rhoa;Rhoc;Rhoc;Rhoa
A0A0G2JDN0;A0A0G2JFM6;A0A0G2JGN1;P08071,DO / D6,DO,D6,0.575908202,0.040420348,0.011548671,0.380036158,A0A0G2JDN0_MOUSE;A0A0G2JFM6_MOUSE;A0A0G2JGN1_MOUSE;TRFL_MOUSE,Ltf
A0A0N4SV66;C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP4;Q8CGP5;Q8CGP6;Q8CGP7;Q8R1M2,DO / D6,DO,D6,0.662643626,0.325288369,0.07033262,0.390158545,A0A0N4SV66_MOUSE;H2A1B_MOUSE;H2A1C_MOUSE;H2A1D_MOUSE;H2A1E_MOUSE;H2A1G_MOUSE;H2A1I_MOUSE;H2A1N_MOUSE;H2A1O_MOUSE;H2A1P_MOUSE;H2A3_MOUSE;Q8CGP4_MOUSE;H2A1F_MOUSE;H2A1H_MOUSE;H2A1K_MOUSE;H2AJ_MOUSE,H2aj;H2ac4;Hist1h2ac;H2ac7;H2ac8;H2ac11;H2ac13;Hist1h2an;Hist1h2ao;Hist1h2ap;Hist3h2a;H2ac1;Hist1h2af;Hist1h2ah;H2ac15;H2afj
A0A0N4SVM0;D6RCW7;P47754,DO / D6,DO,D6,0.151831466,1.12E-05,3.98E-05,0.241146242,A0A0N4SVM0_MOUSE;D6RCW7_MOUSE;CAZA2_MOUSE,Capza2
A0A0R4J293;Q9JLF6,DO / D6,DO,D6,0.63276029,0.184429183,0.041856268,0.404562628,A0A0R4J293_MOUSE;TGM1_MOUSE,Tgm1
A0A0U1RPN8;A0A0U1RPT5;A6ZI44;A6ZI47;D3YV98;D3YWI1;D3Z510;P00883;P05064,DO / D6,DO,D6,0.200100031,0.001257574,0.001257574,0.536684935,A0A0U1RPN8_MOUSE;A0A0U1RPT5_MOUSE;A6ZI44_MOUSE;A6ZI47_MOUSE;D3YV98_MOUSE;D3YWI1_MOUSE;D3Z510_MOUSE;ALDOA_RABIT;ALDOA_MOUSE,Aldoa;Aldoa;Aldoa;Aldoart2;Aldoa;Aldoa;Aldoa;ALDOA;Aldoa
A0A140LI77;D3YV43;P62908,DO / D6,DO,D6,0.460055333,0.003848987,0.002745064,0.282498446,A0A140LI77_MOUSE;D3YV43_MOUSE;RS3_MOUSE,Rps3
A0A1B0GSR9;A0A1B0GSX0;P06151,DO / D6,DO,D6,0.212085325,2.84E-10,9.09E-09,0.167355905,A0A1B0GSR9_MOUSE;A0A1B0GSX0_MOUSE;LDHA_MOUSE,Ldha
A0A1L1SUK3;P14206,DO / D6,DO,D6,0.247615028,0.000127891,0.000204626,0.31031882,A0A1L1SUK3_MOUSE;RSSA_MOUSE,Rpsa
