Geneid	GeneType	Group	Dif_D6_1_S4	Dif_D6_2_S3	Dif_D6_3_S2	Dif_D6_4_S1	Undif_D2_1_S8	Undif_D2_2_S7	Undif_D2_3_S6	Undif_D2_4_S5
ENSMUSG00000119106.1	snRNA	non_conding_RNA	37	58	69	40	1	9	5	6
ENSMUSG00000031916.18	protein_coding	coding_genes	16	15	41	25	0	7	1	3
ENSMUSG00000061461.12	protein_coding	coding_genes	5	5	7	10	4	6	2	1
ENSMUSG00002075390.1	miRNA	non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000112020.2	TEC	unconfirmed_genes	2	0	2	2	1	0	0	0
ENSMUSG00000107164.2	lncRNA	long_non_conding_RNA	13	11	4	5	0	0	0	0
ENSMUSG00002076728.1	misc_RNA	non_conding_RNA	2	0	0	0	0	0	0	0
ENSMUSG00000100198.2	lncRNA	long_non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000002413.16	protein_coding	coding_genes	128	87	106	87	19	28	16	32
ENSMUSG00000047534.18	protein_coding	coding_genes	25	16	29	22	0	4	10	17
ENSMUSG00000119589.1	snoRNA	non_conding_RNA	0	0	5	3	0	0	0	0
ENSMUSG00000059303.7	protein_coding	coding_genes	26	9	13	14	0	0	8	4
ENSMUSG00000101416.2	lncRNA	long_non_conding_RNA	2	0	0	0	0	0	1	1
ENSMUSG00000034820.5	protein_coding	coding_genes	31	23	32	27	2	9	3	15
ENSMUSG00000117652.2	lncRNA	long_non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000110686.2	processed_pseudogene	pseudogenes	2	3	2	0	0	0	0	0
ENSMUSG00000092258.3	lncRNA	long_non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000022635.10	protein_coding	coding_genes	20	28	10	23	0	6	5	4
ENSMUSG00000005583.17	protein_coding	coding_genes	26	11	14	31	5	6	1	20
ENSMUSG00000111904.2	processed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000120125.1	lncRNA	long_non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000081534.4	protein_coding	coding_genes	35	14	10	19	2	5	2	13
ENSMUSG00000115269.2	processed_pseudogene	pseudogenes	6	0	1	12	0	1	0	0
ENSMUSG00000113332.2	unprocessed_pseudogene	pseudogenes	2	0	1	0	0	0	0	0
ENSMUSG00000101390.2	unprocessed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000086117.2	lncRNA	long_non_conding_RNA	0	5	0	0	0	4	2	0
ENSMUSG00000027363.16	protein_coding	coding_genes	100	90	114	67	5	14	16	30
ENSMUSG00000038685.19	protein_coding	coding_genes	54	54	60	42	5	7	9	21
ENSMUSG00000104545.2	TEC	unconfirmed_genes	9	0	8	0	0	0	0	1
ENSMUSG00000030983.5	protein_coding	coding_genes	21	25	32	30	5	11	9	9
ENSMUSG00000051146.4	protein_coding	coding_genes	2	8	4	13	1	2	7	1
ENSMUSG00000084663.3	miRNA	non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000039886.9	protein_coding	coding_genes	81	40	32	46	0	1	1	3
ENSMUSG00000095387.6	TR_V_gene	Ig_genes	0	0	0	0	0	0	0	0
ENSMUSG00000109128.2	lncRNA	long_non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000052180.16	protein_coding	coding_genes	3	4	5	4	0	0	0	0
ENSMUSG00000118398.2	processed_pseudogene	pseudogenes	9	3	0	0	0	0	2	1
ENSMUSG00000100225.2	processed_pseudogene	pseudogenes	4	8	2	6	0	1	3	0
ENSMUSG00000119616.1	miRNA	non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000116461.2	protein_coding	coding_genes	0	0	0	0	0	0	0	0
ENSMUSG00000110713.2	lncRNA	long_non_conding_RNA	0	4	2	3	0	0	0	0
ENSMUSG00000105857.2	lncRNA	long_non_conding_RNA	1	7	5	2	0	0	0	0
ENSMUSG00000035566.8	protein_coding	coding_genes	69	33	63	65	4	11	13	18
ENSMUSG00000017000.3	protein_coding	coding_genes	0	0	0	1	0	0	0	1
ENSMUSG00000050910.6	protein_coding	coding_genes	63	48	74	60	4	8	6	8
ENSMUSG00000099734.2	unprocessed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000114078.2	processed_pseudogene	pseudogenes	0	0	1	0	0	0	0	0
ENSMUSG00000024842.9	protein_coding	coding_genes	9	4	1	1	0	1	0	2
ENSMUSG00000087792.3	snRNA	non_conding_RNA	3	0	0	0	0	0	0	0
ENSMUSG00000064763.3	snRNA	non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000061080.12	protein_coding	coding_genes	163	72	106	66	2	18	35	31
ENSMUSG00000031103.13	protein_coding	coding_genes	211	188	185	183	6	9	12	3
ENSMUSG00000040867.14	protein_coding	coding_genes	46	26	50	50	2	9	6	9
ENSMUSG00000103354.2	TEC	unconfirmed_genes	1	1	0	0	0	0	0	0
ENSMUSG00000033063.9	protein_coding	coding_genes	31	7	16	17	0	0	2	2
ENSMUSG00000042425.19	protein_coding	coding_genes	19	12	11	22	0	7	0	5
ENSMUSG00000115779.2	lncRNA	long_non_conding_RNA	18	4	5	9	3	0	1	3
ENSMUSG00000002032.18	protein_coding	coding_genes	15	7	6	18	0	2	5	7
ENSMUSG00000113842.2	TEC	unconfirmed_genes	5	6	0	7	0	0	0	0
ENSMUSG00000108986.2	lncRNA	long_non_conding_RNA	1	0	2	5	0	0	3	1
ENSMUSG00000083472.2	processed_pseudogene	pseudogenes	0	0	1	2	0	0	0	0
ENSMUSG00002076163.1	snRNA	non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000058622.2	processed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000095897.2	IG_D_gene	Ig_genes	0	0	0	0	0	0	0	0
ENSMUSG00000034913.11	protein_coding	coding_genes	9	9	17	4	0	0	7	1
ENSMUSG00000040435.13	protein_coding	coding_genes	37	77	84	75	3	3	7	14
ENSMUSG00000106000.2	lncRNA	long_non_conding_RNA	0	0	9	0	0	0	0	0
ENSMUSG00000081089.2	unprocessed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000025588.5	protein_coding	coding_genes	4	12	9	12	0	0	1	2
ENSMUSG00000111459.2	processed_pseudogene	pseudogenes	0	0	0	3	0	0	0	1
ENSMUSG00000118425.2	transcribed_unprocessed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000106483.2	lncRNA	long_non_conding_RNA	11	0	9	6	0	0	0	0
ENSMUSG00000088055.4	snoRNA	non_conding_RNA	8	4	1	11	0	0	3	1
ENSMUSG00000091577.3	transcribed_processed_pseudogene	pseudogenes	0	4	15	3	0	0	0	5
ENSMUSG00000116971.2	lncRNA	long_non_conding_RNA	6	5	5	7	0	0	0	0
ENSMUSG00000082307.4	processed_pseudogene	pseudogenes	3	10	3	4	0	0	0	0
ENSMUSG00000114105.2	lncRNA	long_non_conding_RNA	0	0	0	2	0	0	0	0
ENSMUSG00000087939.3	snRNA	non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000102163.2	lncRNA	long_non_conding_RNA	1	0	2	2	1	0	0	0
ENSMUSG00000028234.7	protein_coding	coding_genes	160	154	164	163	62	111	73	113
ENSMUSG00000020696.19	protein_coding	coding_genes	125	170	114	132	9	14	21	12
ENSMUSG00000000056.8	protein_coding	coding_genes	27	40	48	27	1	2	4	5
ENSMUSG00000114588.2	processed_pseudogene	pseudogenes	1	1	3	3	0	0	1	1
ENSMUSG00000019470.13	protein_coding	coding_genes	63	44	71	42	10	17	9	9
ENSMUSG00000031756.6	protein_coding	coding_genes	9	42	26	22	2	4	1	1
ENSMUSG00000028549.18	protein_coding	coding_genes	30	15	11	22	1	6	8	25
ENSMUSG00000112651.2	processed_pseudogene	pseudogenes	1	0	0	1	0	0	0	0
ENSMUSG00000115806.2	TEC	unconfirmed_genes	13	12	19	11	0	0	7	0
ENSMUSG00000085436.3	lncRNA	long_non_conding_RNA	2	0	7	0	0	0	0	1
ENSMUSG00000039007.11	protein_coding	coding_genes	3	0	13	12	0	5	1	3
ENSMUSG00000031154.16	protein_coding	coding_genes	184	193	177	145	14	12	30	27
ENSMUSG00000083982.2	processed_pseudogene	pseudogenes	0	1	4	1	0	0	1	0
ENSMUSG00000117234.2	processed_pseudogene	pseudogenes	0	0	0	2	0	0	0	5
ENSMUSG00000110268.2	lncRNA	long_non_conding_RNA	0	1	0	0	0	0	0	0
ENSMUSG00002076673.1	miRNA	non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000073494.6	protein_coding	coding_genes	10	2	13	7	0	3	2	6
ENSMUSG00000081116.2	processed_pseudogene	pseudogenes	0	1	0	0	0	0	0	0
ENSMUSG00000120756.1	lncRNA	long_non_conding_RNA	11	0	7	2	0	0	7	2
ENSMUSG00000106510.2	processed_pseudogene	pseudogenes	0	4	0	0	0	0	0	0
