Geneid	GeneType	Group	Dif_D6_1_S4	Dif_D6_2_S3	Dif_D6_3_S2	Dif_D6_4_S1	Undif_D2_1_S8	Undif_D2_2_S7	Undif_D2_3_S6	Undif_D2_4_S5
ENSMUSG00000102693.2	TEC	unconfirmed_genes	0	0	0	0	0	0	0	0
ENSMUSG00000064842.3	snRNA	non_conding_RNA	1	2	3	3	0	0	0	1
ENSMUSG00000051951.6	protein_coding	coding_genes	781	557	445	786	98	96	130	202
ENSMUSG00000102851.2	processed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000103377.2	TEC	unconfirmed_genes	0	0	0	0	0	0	0	0
ENSMUSG00000104017.2	TEC	unconfirmed_genes	0	0	0	0	0	0	0	0
ENSMUSG00000103025.2	TEC	unconfirmed_genes	0	0	0	0	0	0	0	0
ENSMUSG00000089699.2	lncRNA	long_non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000103201.2	TEC	unconfirmed_genes	0	0	0	0	0	0	0	0
ENSMUSG00000103147.2	processed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000103161.2	TEC	unconfirmed_genes	0	0	0	0	0	0	0	0
ENSMUSG00000102331.2	lncRNA	long_non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000102348.2	TEC	unconfirmed_genes	2	0	1	1	0	0	0	0
ENSMUSG00000102592.2	TEC	unconfirmed_genes	3	3	4	5	0	0	0	1
ENSMUSG00000088333.4	snRNA	non_conding_RNA	1	0	0	1	0	0	0	0
ENSMUSG00000102343.2	lncRNA	long_non_conding_RNA	111	137	80	139	5	9	27	29
ENSMUSG00000025900.14	protein_coding	coding_genes	513	484	446	542	55	118	88	139
ENSMUSG00000102948.2	processed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000104123.2	TEC	unconfirmed_genes	0	0	0	0	0	0	0	0
ENSMUSG00000025902.14	protein_coding	coding_genes	32	26	15	22	2	4	1	15
ENSMUSG00000104238.2	lncRNA	long_non_conding_RNA	1	1	3	1	0	0	0	0
ENSMUSG00000102269.2	processed_pseudogene	pseudogenes	7	5	10	0	0	0	2	0
ENSMUSG00000118917.1	snRNA	non_conding_RNA	8	11	24	12	0	2	2	2
ENSMUSG00000103003.2	processed_pseudogene	pseudogenes	2	2	0	2	0	0	0	0
ENSMUSG00000104328.2	lncRNA	long_non_conding_RNA	6	7	2	13	0	1	0	0
ENSMUSG00000102735.2	processed_pseudogene	pseudogenes	0	1	0	3	0	0	0	0
ENSMUSG00000098104.2	processed_pseudogene	pseudogenes	12	15	23	8	6	0	4	8
ENSMUSG00000102175.2	processed_pseudogene	pseudogenes	20	49	38	17	0	0	0	0
ENSMUSG00002075947.1	snRNA	non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000103265.2	processed_pseudogene	pseudogenes	0	3	0	3	0	0	0	1
ENSMUSG00000103922.2	processed_pseudogene	pseudogenes	1	11	10	7	0	2	0	0
ENSMUSG00000033845.14	protein_coding	coding_genes	85	45	65	64	33	27	21	66
ENSMUSG00000102275.2	TEC	unconfirmed_genes	0	0	0	0	0	0	0	0
ENSMUSG00000120403.1	lncRNA	long_non_conding_RNA	2	10	4	8	0	3	3	14
ENSMUSG00000025903.15	protein_coding	coding_genes	1	0	0	1	0	0	0	0
ENSMUSG00000104217.2	protein_coding	coding_genes	22	14	18	22	10	17	3	7
ENSMUSG00000033813.16	protein_coding	coding_genes	3	173	10	16	0	2	5	2
ENSMUSG00000062588.5	processed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000103280.2	TEC	unconfirmed_genes	3	0	0	1	0	0	0	0
ENSMUSG00000002459.18	protein_coding	coding_genes	289	257	388	348	26	32	45	83
ENSMUSG00000091305.2	processed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000102653.2	TEC	unconfirmed_genes	0	0	0	0	0	0	0	0
ENSMUSG00000085623.2	lncRNA	long_non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000091665.2	processed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000033793.13	protein_coding	coding_genes	497	1096	2279	190	86	194	52	87
ENSMUSG00000104352.2	processed_pseudogene	pseudogenes	25	16	7	18	0	7	1	0
ENSMUSG00000104046.2	TEC	unconfirmed_genes	0	0	2	0	2	0	0	1
ENSMUSG00000102907.2	TEC	unconfirmed_genes	2	0	0	0	1	0	0	0
ENSMUSG00000025905.15	protein_coding	coding_genes	41	41	44	37	0	10	7	8
ENSMUSG00000103936.2	processed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00002076544.1	miRNA	non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000103519.2	TEC	unconfirmed_genes	4	1	3	3	0	0	0	4
ENSMUSG00000033774.5	protein_coding	coding_genes	9	4	14	6	0	1	13	0
ENSMUSG00000103090.2	processed_pseudogene	pseudogenes	0	1	0	0	0	0	0	2
ENSMUSG00000090031.4	lncRNA	long_non_conding_RNA	53	54	59	73	4	18	12	13
ENSMUSG00000025907.15	protein_coding	coding_genes	182	137	113	164	10	11	24	36
ENSMUSG00000087247.4	protein_coding	coding_genes	81	38	68	81	3	7	12	17
