Row.names	diff.90pc	undiff.90pc	gene_biotype	mirbase_id	external_gene_name
ENSMUSG00000064390.3	1	1	snoRNA		Snord73b
ENSMUSG00000064542.3	1	1	snoRNA		Gm22980
ENSMUSG00000064647.3	1	1	snoRNA		Gm23301
ENSMUSG00000064778.4	1	1	snoRNA		Snord59a
ENSMUSG00000064823.3	1	1	snoRNA		Snord82
ENSMUSG00000064844.3	1	1	snoRNA		Gm26202
ENSMUSG00000064899.3	1	1	snoRNA		Snord118
ENSMUSG00000064945.3	1	1	misc_RNA		Rny3
ENSMUSG00000064984.3	1	1	snoRNA		Snord73a
ENSMUSG00000065196.3	1	1	snoRNA		Snord85
ENSMUSG00000065219.3	1	1	snoRNA		Snord32a
ENSMUSG00000065232.3	1	1	snRNA		Gm22973
ENSMUSG00000065258.3	1	1	snoRNA		Gm23969
ENSMUSG00000065396.3	1	1	miRNA	mmu-mir-99b	Mir99b
ENSMUSG00000065400.3	1	1	miRNA	mmu-mir-200a	Mir200a
ENSMUSG00000065405.5	1	1	miRNA	mmu-mir-30a	Mir30a
ENSMUSG00000065410.3	1	1	miRNA	mmu-mir-298	Mir298
ENSMUSG00000065418.3	1	1	miRNA	mmu-mir-322	Mir322
ENSMUSG00000065431.3	1	1	miRNA	mmu-mir-186	Mir186
ENSMUSG00000065440.3	1	1	miRNA	mmu-let-7g	Mirlet7g
ENSMUSG00000065444.3	1	1	miRNA	mmu-mir-27a	Mir27a
ENSMUSG00000065445.5	1	1	miRNA	mmu-mir-143	Mir143
ENSMUSG00000065464.4	1	1	miRNA	mmu-mir-185	Mir185
ENSMUSG00000065468.3	1	1	miRNA	mmu-mir-26b	Mir26b
ENSMUSG00000065470.3	1	1	miRNA	mmu-mir-149	Mir149
ENSMUSG00000065484.3	1	1	miRNA	mmu-mir-130a	Mir130a
ENSMUSG00000065494.3	1	1	miRNA	mmu-mir-28a	Mir28a
ENSMUSG00000065500.5	1	1	miRNA	mmu-mir-10b	Mir10b
ENSMUSG00000065501.3	1	1	miRNA	mmu-mir-335	Mir335
ENSMUSG00000065503.3	1	1	miRNA	mmu-mir-351	Mir351
ENSMUSG00000065505.3	1	1	miRNA	mmu-mir-148a	Mir148a
ENSMUSG00000065509.5	1	1	miRNA	mmu-mir-421	Mir421
ENSMUSG00000065510.3	1	1	miRNA	mmu-mir-361	Mir361
ENSMUSG00000065514.3	1	1	miRNA	mmu-mir-106b	Mir106b
ENSMUSG00000065515.3	1	1	miRNA	mmu-mir-152	Mir152
ENSMUSG00000065518.4	1	1	miRNA	mmu-mir-423	Mir423
ENSMUSG00000065519.3	1	1	miRNA	mmu-mir-10a	Mir10a
ENSMUSG00000065520.4	1	1	miRNA	mmu-mir-128-1	Mir128-1
ENSMUSG00000065521.3	1	1	miRNA	mmu-mir-296	Mir296
ENSMUSG00000065523.3	1	1	miRNA	mmu-mir-192	Mir192
ENSMUSG00000065528.3	1	1	miRNA	mmu-mir-320	Mir320
ENSMUSG00000065530.3	1	1	miRNA	mmu-mir-99a	Mir99a
ENSMUSG00000065537.4	1	1	miRNA	mmu-mir-132	Mir132
ENSMUSG00000065542.3	1	1	miRNA	mmu-mir-224	Mir224
ENSMUSG00000065549.5	1	1	miRNA	mmu-mir-200b	Mir200b
ENSMUSG00000065556.3	1	1	miRNA	mmu-mir-101b	Mir101b
ENSMUSG00000065560.3	1	1	miRNA	mmu-mir-148b	Mir148b
ENSMUSG00000065574.3	1	1	miRNA	mmu-mir-203	Mir203
ENSMUSG00000065610.3	1	1	miRNA	mmu-mir-29a	Mir29a
ENSMUSG00000065611.3	1	1	miRNA	mmu-mir-23a	Mir23a
ENSMUSG00000065612.3	1	1	miRNA	mmu-mir-151	Mir151
ENSMUSG00000065613.3	1	1	miRNA	mmu-mir-92a-2	Mir92-2
ENSMUSG00000065619.4	1	1	miRNA	mmu-mir-183	Mir183
ENSMUSG00000065701.3	1	1	misc_RNA		Rny1
ENSMUSG00000065738.3	1	1	snoRNA		Gm24494
ENSMUSG00000065752.3	1	1	snoRNA		Gm23344
ENSMUSG00000070074.3	1	1	miRNA	mmu-mir-484	Mir484
ENSMUSG00000070130.3	1	1	miRNA	mmu-mir-328	Mir328
ENSMUSG00000070139.3	1	1	miRNA	mmu-mir-532	Mir532
ENSMUSG00000070140.3	1	1	miRNA	mmu-mir-483	Mir483
ENSMUSG00000076052.3	1	1	miRNA	mmu-mir-541	Mir541
ENSMUSG00000076118.3	1	1	miRNA	mmu-mir-669c	Mir669c
ENSMUSG00000076122.3	1	1	miRNA	mmu-mir-503	Mir503
ENSMUSG00000076251.3	1	1	miRNA	mmu-mir-501	Mir501
ENSMUSG00000076286.3	1	1	miRNA	mmu-mir-672	Mir672
ENSMUSG00000076312.3	1	1	miRNA	mmu-mir-499	Mir499
ENSMUSG00000076361.3	1	1	miRNA	mmu-mir-182	Mir182
ENSMUSG00000076376.3	1	1	miRNA	mmu-mir-674	Mir674
ENSMUSG00000076460.3	1	1	miRNA	mmu-mir-744	Mir744
ENSMUSG00000076948.4	1	1	miRNA	mmu-mir-467e	Mir467e
ENSMUSG00000077049.4	1	1	miRNA	mmu-mir-467c	Mir467c
ENSMUSG00000077086.3	1	1	miRNA	mmu-mir-669o	Mir669o
ENSMUSG00000077734.3	1	1	snoRNA		Snord83b
ENSMUSG00000080594.3	1	1	miRNA	mmu-mir-669h	Mir669h
ENSMUSG00000080610.3	1	1	snoRNA		Snord110
ENSMUSG00000080653.3	1	1	miRNA	mmu-mir-669e	Mir669e
ENSMUSG00000087790.3	1	1	snoRNA		Gm25970
ENSMUSG00000088148.3	1	1	miRNA	mmu-mir-1983	Mir1983
ENSMUSG00000092680.3	1	1	snoRNA		Snord55
ENSMUSG00000092887.3	1	1	snoRNA		Snord53
ENSMUSG00000092998.3	1	1	miRNA	mmu-mir-5099	Mir5099
ENSMUSG00000098973.3	1	1	miRNA	mmu-mir-6236	Mir6236
