"diff"	"undiff"	"both"	"diffOnly"	"undiffOnly"	"both75pc"	"both90pc"
"0610010F05RIK"	1	0	0	1	0	1	1
"2700081O15RIK"	1	1	1	0	0	1	1
"ANKRD13B"	0	0	0	1	0	0	0
"ARNT2"	0	1	1	1	1	1	0
"ASCL1"	0	0	0	0	0	1	1
"ATAT1"	1	1	1	0	0	1	1
"B3GAT1"	1	1	1	0	0	1	1
"BASP1"	1	1	1	0	0	1	1
"BZW2"	1	1	1	0	0	1	1
"CADM4"	1	1	1	0	0	1	1
"CDK5R1"	1	1	1	0	0	1	1
"CDKN1C"	0	1	1	1	1	1	1
"CELF3"	1	1	1	0	0	1	1
"CEP170"	1	1	1	0	0	1	1
"CHL1"	1	1	1	0	0	1	1
"CNIH2"	0	0	0	0	0	1	0
"CNR1"	1	1	1	0	0	1	1
"CRMP1"	0	1	1	1	1	0	0
"CSNK1E"	0	1	1	1	1	1	1
"CXADR"	1	1	1	0	0	1	1
"DBN1"	0	1	1	1	1	1	1
"DCC"	1	1	1	0	0	1	1
"DCLK2"	0	1	1	1	1	1	0
"DCX"	1	1	1	0	0	1	1
"DLX1"	1	1	1	0	0	1	1
"DNER"	1	1	1	0	0	1	1
"DPYSL4"	0	1	1	1	1	1	0
"DPYSL5"	0	1	1	1	1	1	1
"EFNA2"	0	0	0	0	1	0	0
"EFNB3"	0	1	1	1	1	1	1
"ELAVL2"	1	1	1	0	0	1	1
"ELAVL3"	0	1	1	1	1	0	0
"ENC1"	1	1	1	0	0	1	1
"EOMES"	0	0	0	0	1	0	0
"EPHA4"	0	1	1	0	0	1	0
"FAM57B"	0	0	0	0	0	1	1
"FNBP1L"	1	1	1	0	0	1	1
"FOXG1"	1	1	1	0	0	1	1
"FSTL1"	0	1	1	1	1	1	1
"FZD3"	0	1	1	1	1	1	1
"GAP43"	1	1	1	0	0	1	1
"GDAP1"	0	0	0	1	1	0	0
"GNAO1"	1	1	1	0	0	1	1
"GNG2"	1	1	1	0	0	1	1
"GNG3"	0	1	1	1	1	1	1
"GPC2"	0	1	1	1	1	1	1
"GPM6A"	1	1	1	0	0	1	1
"GPM6B"	1	1	1	0	0	1	1
"H2AFY2"	0	1	1	1	1	1	1
"ID4"	1	1	1	0	0	1	1
"IDH1"	1	1	1	0	0	1	1
"IGFBPL1"	0	1	1	1	1	0	0
"INA"	0	1	1	1	1	1	1
"KIF5C"	0	1	1	1	1	1	0
"KLHL7"	0	0	0	0	0	1	0
"L1CAM"	0	1	1	0	0	1	1
"LHX2"	0	1	1	1	1	1	0
"LRP8"	0	1	1	0	0	1	1
"LRRN3"	0	1	1	1	1	1	1
"MAPK8IP1"	0	0	0	0	0	1	1
"MAPT"	1	1	1	0	0	1	1
"MEIS3"	0	0	0	1	0	0	0
"MEX3A"	1	1	1	0	0	1	1
"MFAP2"	0	0	0	0	0	1	1
"MLLT11"	0	0	0	0	0	1	1
"MPPED2"	1	0	0	1	0	1	1
"NCAM1"	0	1	1	0	0	1	1
"NCAN"	1	0	0	1	0	1	1
"NDN"	1	1	1	0	0	1	1
"NEFL"	1	1	1	0	0	1	1
"NEFM"	1	1	1	0	0	1	1
"NETO2"	0	0	0	1	1	0	0
"NEUROD1"	0	0	0	0	0	1	0
"NEUROD2"	0	0	0	0	0	1	1
"NEUROD6"	1	1	1	0	0	1	1
"NEUROG2"	1	1	1	0	0	1	1
"NHLH2"	1	1	1	0	0	1	1
"NNAT"	1	1	1	0	0	1	1
"NOVA1"	1	1	1	0	0	1	1
"NR2F1"	0	0	0	0	0	1	0
"NRN1"	1	1	1	0	0	1	1
"NSG1"	1	1	1	0	0	1	1
"NSG2"	1	1	1	0	0	1	1
"OLFM1"	0	1	1	1	1	1	1
"PAK1"	1	1	1	0	0	1	1
"PAK3"	1	1	1	0	0	1	1
"PBX3"	1	1	1	0	0	1	1
"PCBP4"	0	1	1	1	1	1	1
"PFN2"	1	1	1	0	0	1	1
"PHF6"	1	1	1	0	0	1	1
"PKIA"	1	1	1	0	0	1	1
"PLXNA2"	1	1	1	0	0	1	1
"POU3F3"	1	1	1	0	0	1	1
"PTPRZ1"	1	1	1	0	0	1	1
"RAB6B"	1	1	1	0	0	1	1
"RAC3"	0	0	0	1	0	0	0
"REEP1"	1	1	1	0	0	1	1
"RND3"	1	1	1	0	0	1	1
"ROBO1"	1	1	1	0	0	1	1
"RRM2"	1	0	0	1	0	1	1
"RTN1"	1	1	1	0	0	1	1
"RUFY3"	1	0	0	1	0	1	1
"SAMD10"	0	0	0	1	0	0	0
"SBK1"	1	1	1	0	0	1	1
"SCG3"	0	1	1	1	1	1	1
"SCRN1"	0	1	1	1	1	1	1
"SEPT3"	1	1	1	0	0	1	1
"SEZ6"	1	0	0	1	0	1	1
"SLC17A6"	1	1	1	0	0	1	1
"SLC35F1"	1	1	1	0	0	1	1
"SNCG"	0	0	0	1	1	0	0
"SOX11"	1	1	1	0	0	1	1
"SOX12"	1	1	1	0	0	1	1
"SOX2"	1	1	1	0	0	1	1
"SOX4"	1	1	1	0	0	1	1
"SRGAP3"	1	1	1	0	0	1	1
"ST8SIA2"	0	1	1	1	1	1	1
"STMN1"	1	1	1	0	0	1	1
"STMN2"	0	1	1	1	1	1	1
"STMN4"	1	0	0	1	0	1	1
"SYT11"	1	1	1	0	0	1	1
"SYT4"	1	1	1	0	0	1	1
"TAGLN3"	1	0	0	1	0	1	1
"TEAD2"	0	0	0	0	0	1	1
"TMEFF1"	1	1	1	0	0	1	1
"TMEM130"	0	1	1	1	1	1	1
"TOX3"	1	1	1	0	0	1	1
"TRIM2"	1	1	1	0	0	1	1
"TSPAN6"	1	1	1	0	0	1	1
"TTYH1"	0	0	0	1	1	0	0
"TUBA1A"	0	0	0	0	0	1	0
"TUBB2A"	0	0	0	0	0	1	1
"TUBB2B"	0	0	0	0	0	1	1
"UBE2QL1"	1	0	0	1	0	1	1
"ZFP428"	1	0	0	1	0	1	1
"ZFP462"	1	1	1	0	0	1	1
"ZIC1"	1	1	1	0	0	1	1
