"TARGET_GENE","GENE_DESCRIPTION","KEGG","BIOCARTA","OBSERVED_MIRNA","OE"
"FRIZZLED4","","0","0","1","5.51612"
"NDUFB8","NADH dehydrogenase (ubiquinone) 1 beta subcomplex 8","5","0","1","5.51612"
"OLFR152","olfactory receptor 152","1","0","1","5.51612"
"LSM5","LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae)","2","0","1","1.37903"
"RAB33A","RAB33A, member of RAS oncogene family","0","0","1","1.37903"
"SIX2","sine oculis-related homeobox 2 homolog (Drosophila)","0","0","3","1.37903"
"TMOD4","tropomodulin 4","0","0","2","1.2258"
"MED29","mediator complex subunit 29","0","0","3","1.18203"
"CAR11","carbonic anhydrase 11","0","0","3","1.03427"
"BAT2","HLA-B associated transcript 2","0","0","2","1.00293"
"FBXO48","F-box protein 48","0","0","3","0.973435"
"ANKZF1","ankyrin repeat and zinc finger domain containing 1","0","0","3","0.919355"
"HIST1H4I","histone cluster 1, H4i","1","0","1","0.919355"
"KLHL10","kelch-like 10 (Drosophila)","0","0","1","0.919355"
"MAGED1","melanoma antigen, family D, 1","1","0","2","0.919355"
"LDHB","lactate dehydrogenase B","5","1","3","0.827418"
"PPARG","peroxisome proliferator activated receptor gamma","4","1","3","0.827418"
"FAM160A2","family with sequence similarity 160, member A2","0","0","5","0.811195"
"CCDC58","coiled-coil domain containing 58","0","0","2","0.78802"
"HPS6","Hermansky-Pudlak syndrome 6","0","0","1","0.78802"
"LIN7B","lin-7 homolog B (C. elegans)","0","0","1","0.78802"
"NACA","nascent polypeptide-associated complex alpha polypeptide","0","0","1","0.78802"
"PRR7","proline rich 7 (synaptic)","0","0","2","0.78802"
"RARS","arginyl-tRNA synthetase","1","0","1","0.78802"
"GAP43","growth associated protein 43","0","0","8","0.788017"
"PACRG","PARK2 co-regulated","0","0","3","0.752199"
"TMEM63B","transmembrane protein 63b","0","0","8","0.747948"
"RTCD1","RNA terminal phosphate cyclase domain 1","0","0","5","0.745422"
"LRRC41","leucine rich repeat containing 41","0","0","6","0.735484"
"ZFC3H1","zinc finger, C3H1-type containing","0","0","11","0.731055"
"EED","embryonic ectoderm development","0","0","5","0.725806"
"KLF4","Kruppel-like factor 4 (gut)","0","0","12","0.711757"
"APOO","apolipoprotein O","0","0","1","0.689518"
"NDUFA8","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8","5","0","1","0.689518"
"PPP3CC","protein phosphatase 3, catalytic subunit, gamma isoform","13","13","1","0.689518"
"ALDOA","aldolase A, fructose-bisphosphate","4","1","3","0.689516"
"EEF1A1","eukaryotic translation elongation factor 1 alpha 1","1","0","3","0.689516"
"OAZ3","ornithine decarboxylase antizyme 3","0","0","2","0.689516"
"RBBP8","retinoblastoma binding protein 8","0","1","3","0.689516"
"SCAND3","SCAN domain containing 3","0","0","3","0.689516"
"HIVEP1","human immunodeficiency virus type I enhancer binding protein 1","0","0","8","0.678906"
"NPEPL1","aminopeptidase-like 1","0","0","5","0.672699"
"DDX1","DEAD (Asp-Glu-Ala-Asp) box polypeptide 1","0","0","3","0.661936"
"CAST","calpastatin","0","0","5","0.656682"
"AKAP4","A kinase (PRKA) anchor protein 4","0","0","2","0.648956"
"PPP6R1","protein phosphatase 6, regulatory subunit 1","0","0","6","0.648956"
"TWIST1","twist homolog 1 (Drosophila)","0","1","6","0.648956"
"JAKMIP1","janus kinase and microtubule interacting protein 1","0","0","5","0.64141"
