"TARGET_GENE","GENE_DESCRIPTION","KEGG","BIOCARTA","OBSERVED_MIRNA","OE"
"FAM154A","family with sequence similarity 154, member A","0","0","1","3.05358"
"LIN7B","lin-7 homolog B (C. elegans)","0","0","1","3.05358"
"MYH4","myosin, heavy polypeptide 4, skeletal muscle","2","0","1","3.05358"
"SLC25A5","solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5","3","0","1","3.05358"
"TYROBP","TYRO protein tyrosine kinase binding protein","1","0","1","3.05358"
"APOO","apolipoprotein O","0","0","1","2.67188"
"SLC5A11","solute carrier family 5 (sodium/glucose cotransporter), member 11","0","0","1","2.67188"
"AIF1","allograft inflammatory factor 1","0","0","1","2.37499"
"PRM1","protamine 1","0","0","1","2.37499"
"PTPLA","protein tyrosine phosphatase-like (proline instead of catalytic arginine), member a","0","0","1","2.37499"
"2310057J16RIK","RIKEN cDNA 2310057J16 gene","0","0","1","2.1375"
"ACBD6","acyl-Coenzyme A binding domain containing 6","0","0","1","2.1375"
"IGSF8","immunoglobulin superfamily, member 8","0","0","1","2.1375"
"MCM3AP","minichromosome maintenance deficient 3 (S. cerevisiae) associated protein","0","0","1","2.1375"
"ATP5G2","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9)","5","0","1","1.94318"
"COX5A","cytochrome c oxidase, subunit Va","6","0","1","1.94318"
"FGF21","fibroblast growth factor 21","4","0","1","1.94318"
"FKBP3","FK506 binding protein 3","0","0","2","1.94318"
"MYH2","myosin, heavy polypeptide 2, skeletal muscle, adult","2","1","1","1.94318"
"PTPN18","protein tyrosine phosphatase, non-receptor type 18","0","0","1","1.94318"
"TMEM189","transmembrane protein 189","0","0","2","1.8587"
"FCGRT","Fc receptor, IgG, alpha chain transporter","0","0","1","1.78125"
"RNF208","ring finger protein 208","0","0","1","1.78125"
"NAGPA","N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase","1","0","3","1.6875"
"DUS1L","dihydrouridine synthase 1-like (S. cerevisiae)","0","0","1","1.64423"
"PLEKHO1","pleckstrin homology domain containing, family O member 1","0","0","1","1.64423"
"SUV420H2","suppressor of variegation 4-20 homolog 2 (Drosophila)","1","0","4","1.61321"
