"TARGET_GENE","GENE_DESCRIPTION","KEGG","BIOCARTA","OBSERVED_MIRNA","OE"
"NDUFB8","NADH dehydrogenase (ubiquinone) 1 beta subcomplex 8","5","0","1","8.99999"
"KLHL10","kelch-like 10 (Drosophila)","0","0","2","3"
"CCDC28B","coiled coil domain containing 28B","0","0","2","2.25001"
"KRT85","keratin 85","0","0","1","2.25"
"ARHGAP32","Rho GTPase activating protein 32","0","0","2","2"
"TMOD4","tropomodulin 4","0","0","2","2"
"PHLDB3","pleckstrin homology-like domain, family B, member 3","0","0","1","1.8"
"FGF21","fibroblast growth factor 21","4","0","2","1.63636"
"FAM184A","family with sequence similarity 184, member A","0","0","6","1.54286"
"ANKZF1","ankyrin repeat and zinc finger domain containing 1","0","0","3","1.5"
"HIST1H4I","histone cluster 1, H4i","1","0","1","1.5"
"STAT4","signal transducer and activator of transcription 4","1","7","2","1.5"
"DDX1","DEAD (Asp-Glu-Ala-Asp) box polypeptide 1","0","0","4","1.44"
"PBXIP1","pre-B-cell leukemia transcription factor interacting protein 1","0","0","3","1.42105"
"RUVBL2","RuvB-like protein 2","0","0","2","1.38462"
"DYRK1B","dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1b","0","1","7","1.36957"
"NPAS4","neuronal PAS domain protein 4","0","0","7","1.34043"
"CCDC58","coiled-coil domain containing 58","0","0","2","1.28572"
"LIN7B","lin-7 homolog B (C. elegans)","0","0","1","1.28572"
"MYH4","myosin, heavy polypeptide 4, skeletal muscle","2","0","1","1.28572"
"NACA","nascent polypeptide-associated complex alpha polypeptide","0","0","1","1.28572"
"PRSS37","protease, serine, 37","0","0","1","1.28572"
"TMEM147","transmembrane protein 147","0","0","1","1.28572"
"TYROBP","TYRO protein tyrosine kinase binding protein","1","0","1","1.28572"
"CACNA1A","calcium channel, voltage-dependent, P/Q type, alpha 1A subunit","5","0","3","1.28571"
"SMS","spermine synthase","5","0","5","1.15385"
"BC060632","","0","0","8","1.14286"
"1700025K23RIK","RIKEN cDNA 1700025K23 gene","0","0","2","1.125"
"APOO","apolipoprotein O","0","0","1","1.125"
"GAP43","growth associated protein 43","0","0","7","1.125"
"GNG5","guanine nucleotide binding protein (G protein), gamma 5","1","0","2","1.125"
"MTA1","metastasis associated 1","0","1","3","1.125"
"NDUFA8","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8","5","0","1","1.125"
"PABPC1","poly(A) binding protein, cytoplasmic 1","1","1","3","1.125"
"PABPC4","poly(A) binding protein, cytoplasmic 4","0","0","1","1.125"
"PRPF19","PRP19/PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae)","2","0","3","1.125"
"SLC5A11","solute carrier family 5 (sodium/glucose cotransporter), member 11","0","0","1","1.125"
