"TARGET_GENE","GENE_DESCRIPTION","KEGG","BIOCARTA","OBSERVED_MIRNA","OE"
"NDUFB8","NADH dehydrogenase (ubiquinone) 1 beta subcomplex 8","5","0","1","4.31092"
"OLFR152","olfactory receptor 152","1","0","1","4.31092"
"PHF10","PHD finger protein 10","0","0","1","2.15546"
"KLHL10","kelch-like 10 (Drosophila)","0","0","2","1.43698"
"ARHGAP32","Rho GTPase activating protein 32","0","0","3","1.43697"
"TMOD4","tropomodulin 4","0","0","3","1.43697"
"IGSF8","immunoglobulin superfamily, member 8","0","0","3","1.29328"
"LIN7B","lin-7 homolog B (C. elegans)","0","0","2","1.23169"
"MYH4","myosin, heavy polypeptide 4, skeletal muscle","2","0","2","1.23169"
"APOO","apolipoprotein O","0","0","2","1.07773"
"CCDC28B","coiled coil domain containing 28B","0","0","2","1.07773"
"KRT85","keratin 85","0","0","1","1.07773"
"RAB33A","RAB33A, member of RAS oncogene family","0","0","1","1.07773"
"SLC5A11","solute carrier family 5 (sodium/glucose cotransporter), member 11","0","0","2","1.07773"
"DDX1","DEAD (Asp-Glu-Ala-Asp) box polypeptide 1","0","0","6","1.03462"
"GAP43","growth associated protein 43","0","0","13","1.00075"
"ANKZF1","ankyrin repeat and zinc finger domain containing 1","0","0","4","0.957984"
"MAB21L2","mab-21-like 2 (C. elegans)","0","0","3","0.923771"
"FAM184A","family with sequence similarity 184, member A","0","0","7","0.862185"
"PHLDB3","pleckstrin homology-like domain, family B, member 3","0","0","1","0.862185"
"MCM3AP","minichromosome maintenance deficient 3 (S. cerevisiae) associated protein","0","0","2","0.862184"
"PPARG","peroxisome proliferator activated receptor gamma","4","1","4","0.862184"
"NPEPL1","aminopeptidase-like 1","0","0","8","0.841156"
"REV1","REV1 homolog (S. cerevisiae)","0","0","8","0.841156"
"ANKHD1","ankyrin repeat and KH domain containing 1","0","0","6","0.834372"
"KLF4","Kruppel-like factor 4 (gut)","0","0","18","0.83437"
"ZFC3H1","zinc finger, C3H1-type containing","0","0","16","0.831023"
"NPAS4","neuronal PAS domain protein 4","0","0","9","0.825496"
"GNG5","guanine nucleotide binding protein (G protein), gamma 5","1","0","3","0.808298"
"TGIF1","TGFB-induced factor homeobox 1","0","0","10","0.798321"
"BAT2","HLA-B associated transcript 2","0","0","2","0.783804"
"FGF21","fibroblast growth factor 21","4","0","2","0.783804"
"FKBP2","FK506 binding protein 2","0","0","2","0.783804"
"MYH2","myosin, heavy polypeptide 2, skeletal muscle, adult","2","1","2","0.783804"
"PACRG","PARK2 co-regulated","0","0","4","0.783804"
"SLC39A5","solute carrier family 39 (metal ion transporter), member 5","0","0","2","0.783804"
"FBXO48","F-box protein 48","0","0","3","0.760751"
"PLEKHG6","pleckstrin homology domain containing, family G (with RhoGef domain) member 6","0","0","3","0.760751"
"DYRK1B","dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1b","0","1","8","0.749726"
"ALDOA","aldolase A, fructose-bisphosphate","4","1","4","0.718488"
"HIST1H4I","histone cluster 1, H4i","1","0","1","0.718488"
"HSP90B1","heat shock protein 90, beta (Grp94), member 1","4","0","6","0.718488"
"MAGED1","melanoma antigen, family D, 1","1","0","2","0.718488"
"MTA1","metastasis associated 1","0","1","4","0.718488"
"NEFL","neurofilament, light polypeptide","1","0","6","0.718488"
"RNF208","ring finger protein 208","0","0","2","0.718488"
"SCAND3","SCAN domain containing 3","0","0","4","0.718488"
"SIX2","sine oculis-related homeobox 2 homolog (Drosophila)","0","0","2","0.718488"
"STAT4","signal transducer and activator of transcription 4","1","7","2","0.718488"
"HOXD10","homeobox D10","0","0","11","0.718487"
"ANKRD52","ankyrin repeat domain 52","0","0","37","0.712073"
"HS3ST1","heparan sulfate (glucosamine) 3-O-sulfotransferase 1","1","0","6","0.699068"
"RTCD1","RNA terminal phosphate cyclase domain 1","0","0","6","0.699068"
"PBXIP1","pre-B-cell leukemia transcription factor interacting protein 1","0","0","3","0.680673"
"EED","embryonic ectoderm development","0","0","6","0.680672"
"ACVR1","activin A receptor, type 1","2","1","16","0.676225"
"TWIST1","twist homolog 1 (Drosophila)","0","1","8","0.676223"
"LRRC41","leucine rich repeat containing 41","0","0","7","0.670588"
"UBE2D1","ubiquitin-conjugating enzyme E2D 1, UBC4/5 homolog (yeast)","2","0","15","0.666637"
"PLEKHO1","pleckstrin homology domain containing, family O member 1","0","0","2","0.66322"
"RUVBL2","RuvB-like protein 2","0","0","2","0.66322"
"SMS","spermine synthase","5","0","6","0.663219"
"HIVEP1","human immunodeficiency virus type I enhancer binding protein 1","0","0","10","0.663217"
"SNX2","sorting nexin 2","0","0","8","0.663216"
"TMEM63B","transmembrane protein 63b","0","0","9","0.657597"
"ZMYM2","zinc finger, MYM-type 2","0","0","10","0.65317"
"RTN1","reticulon 1","0","0","12","0.64664"
"LDHB","lactate dehydrogenase B","5","1","3","0.646638"
"RTN4R","reticulon 4 receptor","0","0","3","0.646638"
"SCHIP1","schwannomin interacting protein 1","0","0","11","0.640811"
"WDR20B","WD repeat domain 20b","0","0","6","0.630867"
"PPARGC1B","peroxisome proliferative activated receptor, gamma, coactivator 1 beta","0","0","8","0.627046"
"NAP1L5","nucleosome assembly protein 1-like 5","0","0","9","0.625778"
"CCDC58","coiled-coil domain containing 58","0","0","2","0.615847"
"FAM154A","family with sequence similarity 154, member A","0","0","1","0.615847"
"HPS6","Hermansky-Pudlak syndrome 6","0","0","1","0.615847"
"KLHL11","kelch-like 11 (Drosophila)","0","0","2","0.615847"
"LIMD2","LIM domain containing 2","0","0","14","0.615847"
"MED29","mediator complex subunit 29","0","0","2","0.615847"
"NACA","nascent polypeptide-associated complex alpha polypeptide","0","0","1","0.615847"
"PRR7","proline rich 7 (synaptic)","0","0","2","0.615847"
"PRSS37","protease, serine, 37","0","0","1","0.615847"
"RARS","arginyl-tRNA synthetase","1","0","1","0.615847"
"SPATA24","spermatogenesis associated 24","0","0","1","0.615847"
"TMEM147","transmembrane protein 147","0","0","1","0.615847"
"TYROBP","TYRO protein tyrosine kinase binding protein","1","0","1","0.615847"
"ZFP428","zinc finger protein 428","0","0","2","0.615847"
"BC060632","","0","0","9","0.615846"
"BRPF1","bromodomain and PHD finger containing, 1","0","0","7","0.615846"
"CACNA1A","calcium channel, voltage-dependent, P/Q type, alpha 1A subunit","5","0","3","0.615846"
"RGS17","regulator of G-protein signaling 17","0","0","7","0.615846"
"TMEM121","transmembrane protein 121","0","0","3","0.615846"
"VKORC1L1","vitamin K epoxide reductase complex, subunit 1-like 1","0","0","7","0.615846"
"GRM3","glutamate receptor, metabotropic 3","1","0","8","0.615845"
"USP8","ubiquitin specific peptidase 8","1","0","11","0.60795"
"VAPA","vesicle-associated membrane protein, associated protein A","1","0","10","0.607171"
"ITGA5","integrin alpha 5 (fibronectin receptor alpha)","9","0","15","0.604335"
"ISL1","ISL1 transcription factor, LIM/homeodomain","0","0","14","0.603529"
"TOB1","transducer of ErbB-2.1","0","1","7","0.603529"
"JAKMIP1","janus kinase and microtubule interacting protein 1","0","0","6","0.601524"
"COL2A1","collagen, type II, alpha 1","4","0","12","0.594609"
"DYNLL2","dynein light chain LC8-type 2","1","0","19","0.593533"
"WNT1","wingless-related MMTV integration site 1","5","5","11","0.592754"
"REV3L","REV3-like, catalytic subunit of DNA polymerase zeta RAD54 like (S. cerevisiae)","1","0","14","0.591697"
"PPP6R1","protein phosphatase 6, regulatory subunit 1","0","0","7","0.591696"
"SKP1A","S-phase kinase-associated protein 1A","7","0","10","0.590538"
"CACNA2D3","calcium channel, voltage-dependent, alpha2/delta subunit 3","5","0","3","0.587853"
"FKBP3","FK506 binding protein 3","0","0","3","0.587853"
"KCTD3","potassium channel tetramerisation domain containing 3","0","0","3","0.587853"
"SLC10A3","solute carrier family 10 (sodium/bile acid cotransporter family), member 3","0","0","3","0.587853"
"LRFN2","leucine rich repeat and fibronectin type III domain containing 2","0","0","5","0.582557"
"ABCB7","ATP-binding cassette, sub-family B (MDR/TAP), member 7","1","0","6","0.57479"
